,0,1,2,3,4,5,6,7,8
289,2.0,2.0,0.626,0.366,1.977,2.0,1.037,1.294,0.941
290,2.0,0.874,0.16,0.834,2.0,2.0,1.249,2.0,0.818
291,2.0,2.0,0.256,0.564,2.0,2.0,1.057,2.0,1.991
292,2.0,1.058,0.108,0.661,2.0,1.926,1.034,2.0,2.0
293,2.0,1.057,0.121,0.629,2.0,2.0,1.022,2.0,2.0
294,2.0,1.064,0.181,0.686,1.983,2.0,1.006,1.446,0.837
295,2.0,1.005,1.088,0.179,2.0,2.0,1.123,1.256,1.337
296,2.0,0.862,0.116,0.911,2.0,2.0,1.254,2.0,0.798
297,2.0,2.0,1.093,0.078,2.0,2.0,1.04,0.452,2.0
298,2.0,2.0,0.093,0.678,2.0,2.0,1.04,1.157,2.0
299,2.0,2.0,0.212,0.642,2.0,2.0,1.054,2.0,0.813
300,2.0,1.004,0.166,0.765,2.0,2.0,1.047,1.37,1.145
301,2.0,0.932,2.0,0.946,1.636,2.0,1.071,2.0,0.814
302,2.0,2.0,0.084,0.655,2.0,1.975,0.978,1.129,2.0
303,2.0,2.0,0.17,0.643,1.968,2.0,1.061,1.052,1.973
304,2.0,0.894,0.197,0.861,1.986,2.0,1.078,2.0,0.877
305,2.0,2.0,2.0,0.596,2.0,2.0,2.0,0.856,2.0
306,2.0,2.0,0.614,0.6,1.997,2.0,2.0,0.956,1.116
307,2.0,0.994,0.17,0.752,1.93,2.0,1.008,1.354,0.793
308,2.0,2.0,0.148,0.599,2.0,2.0,2.0,0.996,2.0
309,2.0,2.0,0.157,0.648,2.0,2.0,1.035,2.0,2.0
310,2.0,2.0,1.182,0.16,2.0,2.0,1.034,0.604,1.821
311,2.0,2.0,0.229,0.634,1.988,2.0,1.04,1.159,1.271
312,2.0,2.0,2.0,0.11,2.0,2.0,1.025,0.552,2.0
313,2.0,2.0,0.097,0.648,2.0,2.0,1.087,1.097,2.0
314,2.0,2.0,0.654,0.648,2.0,2.0,2.0,1.029,1.875
315,2.0,1.015,0.143,0.717,1.977,2.0,1.043,2.0,0.798
316,2.0,2.0,0.528,0.456,2.0,2.0,1.062,0.968,0.819
317,2.0,0.953,0.202,0.576,2.0,2.0,1.137,2.0,1.726
318,2.0,1.069,0.095,0.708,2.0,2.0,1.015,2.0,2.0
319,2.0,1.279,0.223,0.64,2.0,2.0,2.0,1.029,1.976
